nome,propprivado,proppublico,proppolitico,propecono
octavio gouvea de bulhoes,"0,154","0,692","0,000","0,154"
antonio delfim netto,"0,188","0,063","0,000","0,75"
mario henrique simonsen,"0,655","0,071","0,000","0,274"
karlos heinz rischbieter,"0,636","0,364","0,000",0
ernane galveas,"0,333","0,333","0,000","0,333"
francisco oswaldo neves dornelles,"0,000","0,500","0,000","0,5"
dilson domingos funaro,"0,773","0,227","0,000",0
luiz carlos bresser goncalves pereira,"0,500","0,086","0,000","0,414"
mailson ferreira da nobrega,"0,000","0,556","0,000","0,444"
zelia maria cardoso de mello,"0,115","0,154","0,000","0,731"
marcilio marques moreira,"0,517","0,448","0,000","0,034"
gustavo krause goncalves sobrinho,"0,000","0,333","0,667",0
paulo roberto haddad,"0,000","0,167","0,000","0,833"
eliseu resende,"0,822","0,178","0,000",0
fernando henrique cardoso,"0,000","0,182","0,818",0
rubens ricupero,"0,000","0,444","0,000","0,556"
ciro ferreira gomes,"0,154","0,000","0,846",0
pedro sampaio malan,"0,000","0,216","0,000","0,784"
pedro sampaio malan,"0,000","0,293","0,000","0,707"
antonio palocci filho,"0,000","0,000","1,000",0
guido mantega,"0,000","0,250","0,000","0,75"
guido mantega,"0,000","0,455","0,000","0,545"
guido mantega,"0,000","0,600","0,000","0,4"
joaquim vieira levy,"0,174","0,304","0,000","0,522"
nelson henrique barbosa filho,"0,051","0,385","0,000","0,564"
